Antibiotic,Class,ATC code,Category,Explanation,First choice,Second Choice
Amikacin,Aminoglycosides,J01GB06,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"Neutropenia (high-risk), plus cefotaxime for Inflammatory and other diseases of prostate (severe), plus cefotaxime for Acute pyelonephritis (severe), plus ceftriaxone for Inflammatory and other diseases of prostate (severe), plus ceftriaxone for Acute pyelonephritis (severe)",plus cloxacillin for Sepsis without septic shock
Amoxicillin,Penicillins,J01CA04,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"Bacterial pneumonia (Community-acquired pneumonia - mild to moderate), Acute malnutrition in infants, children or adolescents (uncomplicated) [children], Acute malnutrition in infants, children or adolescents (complicated) [children], Acute pharyngitisChronic obstructive pulmonary disease with acute exacerbation, Periapical abscess without sinus, Acute otitis media, Acute sinusitis, plus gentamicin for Bacterial pneumonia (Community-acquired pneumonia - severe) [children]gentamicinSepsis without septic shock",Bacterial meningitis
Amoxycillin.clavulanate,Beta-lactam/beta-lactamase-inhibitor,J01CR02,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"Peritoneal abscess (mild-moderate), Neutropenia (low-risk)Other specified pneumonia (Hospital-acquired pneumonia), Infectious cystitis, Chronic obstructive pulmonary disease with acute exacerbationPeritonitis (mild-moderate)Acute sinusitis, Bacterial cellulitis, erysipelas or lymphangitis, Bacterial pneumonia (Community-acquired pneumonia - severe) [children]","Osteomyelitis or osteitis, Acute otitis media, Other specified prophylactic measures, Bacterial infection of joint, Bacterial pneumonia (Community-acquired pneumonia - mild to moderate), plus clarithromycin for Bacterial pneumonia (Community-acquired pneumonia - severe)"
Ampicillin,Penicillins,J01CA01 ,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"plus gentamicin for Peritoneal abscess (severe), plus gentamicin for Sepsis without septic shock, plus gentamicin  for Peritoneal abscess (mild-moderate), plus gentamicin for Peritonitis (severe), plus gentamicin for Acute malnutrition in infants, children or adolescents (complicated) [children], plus gentamicin for Peritonitis (mild-moderate), plus gentamicin for Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",Bacterial meningitis
Ampicillin.sulbactam,Beta-lactam/beta-lactamase-inhibitor,J01CR01,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Azidocillin,Penicillins ,J01CE04,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Bacampicillin,Penicillins ,J01CA06,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Benzathine.benzylpenicillin,Penicillins,J01CE08,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"Syphilis, Congenital syphilis [children]",
Benzylpenicillin,Penicillins,J01CE01,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"Syphilis, Congenital syphilis [children], plus gentamicin for Sepsis without septic shock, plus gentamicin for Acute malnutrition in infants, children or adolescents (complicated) [children], plus  gentamicin for Bacterial pneumonia (Community-acquired pneumonia - severe) [children]",Bacterial meningitis
Brodimoprim,Trimethoprim-derivatives,J01EA02,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Cefacetrile,First-generation-cephalosporins,J01DB10,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Cefadroxil,First-generation-cephalosporins,J01DB05,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Cefalexin,First-generation-cephalosporins,J01DB01,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,"Bacterial cellulitis, erysipelas or lymphangitis","Acute pharyngitis, Chronic obstructive pulmonary disease with acute exacerbation"
Cefaloridine,First-generation-cephalosporins,J01DB02,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
Cefalotin,First-generation-cephalosporins,J01DB03,Access,This group includes antibiotic classes that have higher resistance potential and includes most of the highest priority agents among the Critically Important Antimicrobials for Human Medicine1 and/or antibiotics that are at relatively high risk of selection of bacterial resistance. These medicines should be prioritized as key targets of stewardship programs and monitoring. Selected Watch group antibiotics are recommended as essential first or second choice empiric treatment options for a limited number of specific infectious syndromes and are listed as individual medicines on the WHO Model Lists of Essential Medicines.,,
