Question,Answer
What are the common side effects of Amikacin?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, DRUG RESISTANCE, THROMBOCYTOPENIA"
What is the AWARE status of Amikacin?,Access
What are the indications for Amikacin?,"INDICATIONS AND USAGE Amikacin Sulfate Injection is indicated in the short-term treatment of serious infections due to susceptible strains of Gram-negative bacteria, including Pseudomonas species, Escherichia coli , species of indole-positive and indole-negative Proteus , Providencia species, Klebsiella-Enterobacter-Serratia species, and Acinetobacter ( Mima-Herellea ) species. Clinical studies have shown Amikacin Sulfate Injection to be effective in bacterial septicemia (including neonatal sepsis); in serious infections of the respiratory tract, bones and joints, central nervous system (including meningitis) and skin and soft tissue; intra-abdominal infections (including peritonitis); and in burns and post-operative infections (including post-vascular surgery). Clinical studies have shown amikacin also to be effective in serious complicated and recurrent urinary tract infections due to these organisms. Aminoglycosides, including Amikacin Sulfate Injection are not indicated in uncomplicated initial episodes of urinary tract infections unless the causative organisms are not susceptible to antibiotics having less potential toxicity. Bacteriologic studies should be performed to identify causative organisms and their susceptibilities to amikacin. Amikacin may be considered as initial therapy in suspected Gram-negative infections and therapy may be instituted before obtaining the results of susceptibility testing. Clinical trials demonstrated that amikacin was effective in infections caused by gentamicin- and/or tobramycin-resistant strains of Gram-negative organisms, particularly Proteus rettgeri , Providencia stuartii , Serratia marcescens , and Pseudomonas aeruginosa . The decision to continue therapy with the drug should be based on results of the susceptibility tests, the severity of the infection, the response of the patient and the important additional considerations contained in the WARNINGS box above. Amikacin has also been shown to be effective in staphylococcal infections and may be considered as initial therapy under certain conditions in the treatment of known or suspected staphylococcal disease such as, severe infections where the causative organism may be either a Gram-negative bacterium or a staphylococcus, infections due to susceptible strains of staphylococci in patients allergic to other antibiotics, and in mixed staphylococci/Gram-negative infections. In certain severe infections such as neonatal sepsis, concomitant therapy with a penicillin-type drug may be indicated because of the possibility of infections due to Gram-positive organisms such as streptococci or pneumococci. To reduce the development of drug-resistant bacteria and maintain the effectiveness of amikacin and other antibacterial drugs, amikacin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Amoxycillin clavulanate?,"DIARRHOEA, DYSPNOEA, NAUSEA, PYREXIA, DRUG HYPERSENSITIVITY"
What are the indications for Amoxycillin clavulanate?,"INDICATIONS AND USAGE Clarithromycin tablets are indicated for the treatment of mild to moderate infections caused by susceptible isolates of the designated bacteria in the conditions as listed below: Adults Pharyngitis/Tonsillitis due to Streptococcus pyogenes (The usual drug of choice in the treatment and prevention of streptococcal infections and the prophylaxis of rheumatic fever is penicillin administered by either the intramuscular or the oral route. Clarithromycin is generally effective in the eradication of S. pyogenes from the nasopharynx; however, data establishing the efficacy of clarithromycin in the subsequent prevention of rheumatic fever are not available at present.) Acute maxillary sinusitis due to Haemophilusinfluenzae, Moraxella catarrhalis , or Streptococcus pneumoniae Acute bacterial exacerbation of chronic bronchitis due to Haemophilusinfluenzae, Haemophilusparainfluenzae, Moraxella catarrhalis, or Streptococcus pneumoniae Community-Acquired Pneumonia due to Haemophilusinfluenzae, Mycoplasma pneumoniae, Streptococcus pneumoniae, or Chlamydia pneumoniae (TWAR) Uncomplicated skin and skin structure infections due to Staphylococcus aureus, or Streptococcus pyogenes (Abscesses usually require surgical drainage.) Disseminated mycobacterial infections due to Mycobacterium avium, or Mycobacterium intracellulare Clarithromycin tablets in combination with amoxicillin and lansoprazole or omeprazole delayed-release capsules, as triple therapy, are indicated for the treatment of patients with H. pylori infection and duodenal ulcer disease (active or five-year history of duodenal ulcer) to eradicate H. pylori. Clarithromycin tablets in combination with omeprazole capsules or ranitidine bismuth citrate tablets are also indicated for the treatment of patients with an active duodenal ulcer associated with H. pylori infection. However, regimens which contain clarithromycin as the single antimicrobial agent are more likely to be associated with the development of clarithromycin resistance among patients who fail therapy. Clarithromycin-containing regimens should not be used in patients with known or suspected clarithromycin resistant isolates because the efficacy of treatment is reduced in this setting. In patients who fail therapy, susceptibility testing should be done if possible. If resistance to clarithromycin is demonstrated, a non-clarithromycin-containing therapy is recommended. (For information on development of resistance see Microbiology section.) The eradication of H. pylori has been demonstrated to reduce the risk of duodenal ulcer recurrence. Children Pharyngitis/Tonsillitis due to Streptococcus pyogenes Community-Acquired Pneumonia due to Mycoplasma pneumoniae, Streptococcus pneumoniae, or Chlamydia pneumoniae (TWAR) Acute maxillary sinusitis due to Haemophilusinfluenzae, Moraxella catarrhalis, or Streptococcus pneumoniae Acute otitis media due to Haemophilusinfluenzae, Moraxella catarrhalis ,or Streptococcus pneumoniae NOTE: For information on otitis media, see CLINICAL STUDIES: Otitis Media . Uncomplicated skin and skin structure infections due to Staphylococcus aureus, or Streptococcus pyogenes (Abscesses usually require surgical drainage.) Disseminated mycobacterial infections due to Mycobacterium avium, or Mycobacterium intracellulare Prophylaxis Clarithromycin tablets are indicated for the prevention of disseminated Mycobacterium avium complex (MAC) disease in patients with advanced HIV infection. To reduce the development of drug-resistant bacteria and maintain the effectiveness of clarithromycin tablets and other antibacterial drugs, clarithromycin tablets should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Ampicillin?,"DRUG INEFFECTIVE, DRUG HYPERSENSITIVITY, FOETAL EXPOSURE DURING PREGNANCY, MATERNAL EXPOSURE DURING PREGNANCY, OFF LABEL USE"
What is the AWARE status of Ampicillin?,Access
What are the indications for Ampicillin?,"INDICATIONS AND USAGE Ampicillin and sulbactam for injection is indicated for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus , Escherichia coli ,* Klebsiella spp .* (including K. pneumoniae*), Proteus mirabilis ,* Bacteroides fragilis ,* Enterobacter spp. , * and Acinetobacter calcoaceticus .* NOTE: For information on use in pediatric patients (see PRECAUTIONS-Pediatric Use and CLINICAL STUDIES sections). Intra-Abdominal Infections caused by beta-lactamase producing strains of Escherichia coli , Klebsiella spp . (including K. pneumoniae *), Bacteroides spp . (including B. fragilis ), and Enterobacter spp .* Gynecological Infections caused by beta-lactamase producing strains of Escherichia coli ,* and Bacteroides spp.* (including B. fragilis *). * Efficacy for this organism in this organ system was studied in fewer than 10 infections. While ampicillin and sulbactam for injection is indicated only for the conditions listed above, infections caused by ampicillin-susceptible organisms are also amenable to treatment with ampicillin and sulbactam for injection due to its ampicillin content. Therefore, mixed infections caused by ampicillin-susceptible organisms and beta-lactamase producing organisms susceptible to ampicillin and sulbactam for injection should not require the addition of another antibacterial. Appropriate culture and susceptibility tests should be performed before treatment in order to isolate and identify the organisms causing infection and to determine their susceptibility to ampicillin and sulbactam for injection. Therapy may be instituted prior to obtaining the results from bacteriological and susceptibility studies when there is reason to believe the infection may involve any of the beta-lactamase producing organisms listed above in the indicated organ systems. Once the results are known, therapy should be adjusted if appropriate. To reduce the development of drug-resistant bacteria and maintain effectiveness of ampicillin and sulbactam for injection and other antibacterial drugs, ampicillin and sulbactam for injection should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Azithromycin?,"OFF LABEL USE, CHRONIC KIDNEY DISEASE, DRUG INEFFECTIVE, DYSPNOEA, ACUTE KIDNEY INJURY"
What is the AWARE status of Azithromycin?,Watch
What are the indications for Azithromycin?,"1 INDICATIONS AND USAGE Azithromycin is a macrolide antibacterial drug indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions listed below. Recommended dosages and durations of therapy in adult and pediatric patient populations vary in these indications. [see Dosage and Administration (2) ] Azithromycin is a macrolide antibacterial drug indicated for mild to moderate infections caused by designated, susceptible bacteria: • Acute bacterial exacerbations of chronic bronchitis in adults ( 1.1 ) • Acute bacterial sinusitis in adults ( 1.1 ) • Uncomplicated skin and skin structure infections in adults ( 1.1 ) • Urethritis and cervicitis in adults ( 1.1 ) • Genital ulcer disease in men ( 1.1 ) • Acute otitis media in pediatric patients (6 months of age and older) ( 1.2 ) • Community-acquired pneumonia in adults and pediatric patients (6 months of age and older) ( 1.1 , 1.2 ) • Pharyngitis/tonsillitis in adults and pediatric patients (2 years of age and older) ( 1.1 , 1.2 ) Limitation of Use: Azithromycin should not be used in patients with pneumonia who are judged to be inappropriate for oral therapy because of moderate to severe illness or risk factors. ( 1.3 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of azithromycin tablets and other antibacterial drugs, azithromycin tablets should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. ( 1.4 ) 1.1 Adult Patients • Acute bacterial exacerbations of chronic bronchitis due to Haemophilus influenzae , Moraxella catarrhalis, or Streptococcus pneumoniae . • Acute bacterial sinusitis due to Haemophilus influenzae , Moraxella catarrhalis. or Streptococcus pneumoniae . • Community-acquired pneumonia due to Chlamydophila pneumoniae , Haemophilus influenzae , Mycoplasma pneumoniae, or Streptococcus pneumoniae in patients appropriate for oral therapy. • Pharyngitis/tonsillitis caused by Streptococcus pyogenes as an alternative to first-line therapy in individuals who cannot use first-line therapy. • Uncomplicated skin and skin structure infections due to Staphylococcus aureus , Streptococcus pyogenes , or Streptococcus agalactiae . • Urethritis and cervicitis due to Chlamydia trachomatis or Neisseria gonorrhoeae . • Genital ulcer disease in men due to Haemophilus ducreyi (chancroid). Due to the small number of women included in clinical trials, the efficacy of azithromycin in the treatment of chancroid in women has not been established. 1.2 Pediatric Patients [see Use in Specific Populations (8.4) and Clinical Studies (14.2) ] • Acute otitis media (>6 months of age) caused by Haemophilus influenzae, Moraxella catarrhalis , or Streptococcus pneumoniae. • Community-acquired pneumonia (>6 months of age) due to Chlamydophila pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae , or Streptococcus pneumoniae in patients appropriate for oral therapy. • Pharyngitis/tonsillitis (>2 years of age) caused by Streptococcus pyogenes as an alternative to first-line therapy in individuals who cannot use first-line therapy. 1.3 Limitations of Use Azithromycin should not be used in patients with pneumonia who are judged to be inappropriate for oral therapy because of moderate to severe illness or risk factors such as any of the following: • patients with cystic fibrosis, • patients with nosocomial infections, • patients with known or suspected bacteremia, • patients requiring hospitalization, • elderly or debilitated patients, or • patients with significant underlying health problems that may compromise their ability to respond to their illness (including immunodeficiency or functional asplenia). 1.4 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of azithromycin tablets and other antibacterial drugs, azithromycin tablets should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Cefepime?,"ACUTE KIDNEY INJURY, DRUG INEFFECTIVE, PYREXIA, OFF LABEL USE, FEBRILE NEUTROPENIA"
What is the AWARE status of Cefepime?,Watch
